OTUID,261MR,262MR,263MR,264MR,265MR,26AFR,26BFR,26CFR,26DFR,26EFR,4110MR,41AFR,41DFR,41EMR,41FFR,41FR,41GMR,41IMR,41JFR,41JMR,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26MVAR,26MVBR,26MVDR,26MVER,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,26FP12R,26FP16R,26FP3R,26FP7R,26FP8R,26H2R,26H3R,26H4R,26H7R,26H8R,26M14R,26M19R,26M2R,26M2ScR,26M4ScR,26M5R,26M6R,26M6ScR,26M9R,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,41M11R,41M12R,41M13R,41M14R,41M15R,H31R,H32R,H33R,H34R,H35R,M1R,M2R,M3R,M4R,M5R
2ead2ffc7bdb3f2b2d74ab9409cb691b,10,7,0,0,0,0,3,1,8,184,7,8,0,0,0,0,8,91,17,3,27,43,0,0,28,4,9,911,212,348,0,0,0,70,233,80,30,7,21,25,1,5,19,14,169,113,16,220,29,0,0,0,187,0,5,0,0,0,0,162,0,2,164,0,0,0,32,0,0,0,20,0,0,0,17,0,0,6
1928e2deabf0f50bc5e216e235cc487b,5,0,0,0,0,15,0,0,1,19,41,13,0,0,11,26,14,0,6,0,54,123,12,24,0,22,14,12,6,123,1,0,0,18,8,22,3,8,33,82,11,58,38,246,50,70,70,6,17,0,15,21,32,4,142,83,4,80,2,421,195,30,87,13,0,27,18,16,14,85,57,186,25,118,7,18,18,188
ff6daec569f11e8ecd88a1eb1f6d0678,0,2,0,0,0,0,5,0,0,0,15,1,0,0,9,0,3,0,0,4,50,29,1,40,0,0,4,43,10,15,0,0,0,3,4,2,3,0,0,20,26,35,42,31,150,5,35,0,22,7,5,66,21,15,56,5,4,142,0,266,70,12,200,2,0,0,0,0,9,10,18,30,0,18,0,8,38,44
6d338102f2433ec68358bd30f08390b3,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,238,318,0,0,0,0,0,0,0,0,0,1,0,0,0,1,376,0,0,0,0,0,0,0,0,23,0,0,37,0,5,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cce6aabbfd925399bf1111383f9d0a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,55,65,17,45,305,107,137,134,179,0,0,0,0,0,3,6,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31de3d22f5b19325735267725f1f49e8,659,26,5,4,0,484,172,0,15,163,159,85,1,209,76,316,67,13,725,51,5,29,0,416,396,0,0,8,32,88,199,78,234,2405,666,157,716,79,2681,634,11,628,554,19,918,4,113,362,102,190,50,218,0,0,1108,8,71,1517,35,3486,784,2535,369,606,0,442,99,49,723,1002,1603,783,708,590,478,1039,742,2307
c91ea531c91683ca852e648c5a1b9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0af38ea1354aa39be5d2dda24f190933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,26,0,0,0,0,0,7,0,0,0,20,9,0,39,6,0,0,0,6,8,0,0,25,0,0,0,72,24,5,48,1,0,0,0,0,0,24,5,8,0,0,2,0,6,6
feddbd23d9ccd9b25bd760b4b60b4cfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63ae07d7e437925e22be2e12333b2f1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
