OTUID,poblacion,temporada,seccion,sexo,corrida,profundidad ,Sexo_poblacion,Sexo_temporada,comparacion
M4S,4150 msnm,No Reproductiva,Estomago,Macho,corrida3,965,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M4I,4150 msnm,No Reproductiva,Ileon,Macho,corrida3,14103,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M4R,4150 msnm,No Reproductiva,Recto,Macho,corrida3,14252,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M5S,4150 msnm,No Reproductiva,Estomago,Macho,corrida3,6923,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M5I,4150 msnm,No Reproductiva,Ileon,Macho,corrida3,452,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M5R,4150 msnm,No Reproductiva,Recto,Macho,corrida3,19717,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M2S,4150 msnm,No Reproductiva,Estomago,Macho,corrida3,11400,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M2I,4150 msnm,No Reproductiva,Ileon,Macho,corrida3,549,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M2R,4150 msnm,No Reproductiva,Recto,Macho,corrida3,18578,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41FV1I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida2,1269,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV1R,4150 msnm,No Reproductiva,Recto,Hembra,corrida2,6693,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV1S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida2,6107,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV2I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida2,528,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV2R,4150 msnm,No Reproductiva,Recto,Hembra,corrida2,3110,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV2S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida2,4417,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV3I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida2,1728,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV3R,4150 msnm,No Reproductiva,Recto,Hembra,corrida2,1381,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV3S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida2,4927,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV4I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida2,3164,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV4R,4150 msnm,No Reproductiva,Recto,Hembra,corrida2,4726,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV4S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida2,4837,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV5I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida2,4793,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV5R,4150 msnm,No Reproductiva,Recto,Hembra,corrida2,67356,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
41FV5S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida2,41,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H31S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida3,12441,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H31I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida3,47212,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H31R,4150 msnm,No Reproductiva,Recto,Hembra,corrida3,16632,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H32S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida3,7763,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H32I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida3,9721,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H32R,4150 msnm,No Reproductiva,Recto,Hembra,corrida3,21698,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H33S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida3,1952,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H33I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida3,6873,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H33R,4150 msnm,No Reproductiva,Recto,Hembra,corrida3,21888,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H34S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida3,9633,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H34I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida3,26577,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H34R,4150 msnm,No Reproductiva,Recto,Hembra,corrida3,18371,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H35S,4150 msnm,No Reproductiva,Estomago,Hembra,corrida3,913,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H35I,4150 msnm,No Reproductiva,Ileon,Hembra,corrida3,19975,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
H35R,4150 msnm,No Reproductiva,Recto,Hembra,corrida3,15339,Hembra 4150 msnm,Hembra No Reproductiva,Hembra4150NoRep
