OTUID,poblacion,temporada,seccion,sexo,corrida,profundidad ,Sexo_poblacion,Sexo_temporada,comparacion
26FP3I,2600 msnm,Reproductiva,Ileon,Hembra,corrida3,16,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP3R,2600 msnm,Reproductiva,Recto,Hembra,corrida3,27612,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP7S,2600 msnm,Reproductiva,Estomago,Hembra,corrida3,559,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP7I,2600 msnm,Reproductiva,Ileon,Hembra,corrida3,345,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP7R,2600 msnm,Reproductiva,Recto,Hembra,corrida3,24893,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP16S,2600 msnm,Reproductiva,Estomago,Hembra,corrida3,152,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP16I,2600 msnm,Reproductiva,Ileon,Hembra,corrida3,37,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP16R,2600 msnm,Reproductiva,Recto,Hembra,corrida3,13180,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP8S,2600 msnm,Reproductiva,Estomago,Hembra,corrida3,37,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP8I,2600 msnm,Reproductiva,Ileon,Hembra,corrida3,1212,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP8R,2600 msnm,Reproductiva,Recto,Hembra,corrida3,22983,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP12S,2600 msnm,Reproductiva,Estomago,Hembra,corrida3,23386,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP12I,2600 msnm,Reproductiva,Ileon,Hembra,corrida3,9752,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
26FP12R,2600 msnm,Reproductiva,Recto,Hembra,corrida3,16261,Hembra 2600 msnm,Hembra Reproductiva,Hembra2600Rep
4110MI,4150 msnm,Reproductiva,Ileon,Macho,corrida1,9428,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
4110MR,4150 msnm,Reproductiva,Recto,Macho,corrida1,23179,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
4110MS,4150 msnm,Reproductiva,Estomago,Macho,corrida1,15411,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41JMI,4150 msnm,Reproductiva,Ileon,Macho,corrida1,11748,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41JMR,4150 msnm,Reproductiva,Recto,Macho,corrida1,7689,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41JMS,4150 msnm,Reproductiva,Estomago,Macho,corrida1,3491,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41IMI,4150 msnm,Reproductiva,Ileon,Macho,corrida1,8166,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41IMR,4150 msnm,Reproductiva,Recto,Macho,corrida1,15688,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41IMS,4150 msnm,Reproductiva,Estomago,Macho,corrida1,12163,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41GMI,4150 msnm,Reproductiva,Ileon,Macho,corrida1,6201,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41GMR,4150 msnm,Reproductiva,Recto,Macho,corrida1,20136,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41GMS,4150 msnm,Reproductiva,Estomago,Macho,corrida1,11997,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41EMI,4150 msnm,Reproductiva,Ileon,Macho,corrida1,23575,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41EMR,4150 msnm,Reproductiva,Recto,Macho,corrida1,20566,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41EMS,4150 msnm,Reproductiva,Estomago,Macho,corrida1,1827,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M11S,4150 msnm,Reproductiva,Estomago,Macho,corrida3,6245,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M11I,4150 msnm,Reproductiva,Ileon,Macho,corrida3,2829,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M11R,4150 msnm,Reproductiva,Recto,Macho,corrida3,30342,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M12S,4150 msnm,Reproductiva,Estomago,Macho,corrida3,1269,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M12I,4150 msnm,Reproductiva,Ileon,Macho,corrida3,1894,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M12R,4150 msnm,Reproductiva,Recto,Macho,corrida3,14204,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M13S,4150 msnm,Reproductiva,Estomago,Macho,corrida3,904,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M13I,4150 msnm,Reproductiva,Ileon,Macho,corrida3,6376,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M13R,4150 msnm,Reproductiva,Recto,Macho,corrida3,13413,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M14S,4150 msnm,Reproductiva,Estomago,Macho,corrida3,308,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M14I,4150 msnm,Reproductiva,Ileon,Macho,corrida3,6441,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M14R,4150 msnm,Reproductiva,Recto,Macho,corrida3,12931,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M15S,4150 msnm,Reproductiva,Estomago,Macho,corrida3,704,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M15I,4150 msnm,Reproductiva,Ileon,Macho,corrida3,1258,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41M15R,4150 msnm,Reproductiva,Recto,Macho,corrida3,2718,Macho 4150 msnm,Macho Reproductivo,Macho4150Rep
41FI,4150 msnm,Reproductiva,Ileon,Hembra,corrida1,10365,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FR,4150 msnm,Reproductiva,Recto,Hembra,corrida1,23697,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FS,4150 msnm,Reproductiva,Estomago,Hembra,corrida1,9600,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41AFI,4150 msnm,Reproductiva,Ileon,Hembra,corrida1,16910,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41AFR,4150 msnm,Reproductiva,Recto,Hembra,corrida1,9658,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41AFS,4150 msnm,Reproductiva,Estomago,Hembra,corrida1,15544,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41DFI,4150 msnm,Reproductiva,Ileon,Hembra,corrida1,13404,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41DFR,4150 msnm,Reproductiva,Recto,Hembra,corrida1,13406,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41DFS,4150 msnm,Reproductiva,Estomago,Hembra,corrida1,16190,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41JFI,4150 msnm,Reproductiva,Ileon,Hembra,corrida1,19641,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41JFR,4150 msnm,Reproductiva,Recto,Hembra,corrida1,21847,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41JFS,4150 msnm,Reproductiva,Estomago,Hembra,corrida1,10774,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FFI,4150 msnm,Reproductiva,Ileon,Hembra,corrida1,16162,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FFR,4150 msnm,Reproductiva,Recto,Hembra,corrida1,18772,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FFS,4150 msnm,Reproductiva,Estomago,Hembra,corrida1,7192,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP16S,4150 msnm,Reproductiva,Estomago,Hembra,corrida3,262,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP16I,4150 msnm,Reproductiva,Ileon,Hembra,corrida3,3828,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP16R,4150 msnm,Reproductiva,Recto,Hembra,corrida3,1189,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP17S,4150 msnm,Reproductiva,Estomago,Hembra,corrida3,1501,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP17I,4150 msnm,Reproductiva,Ileon,Hembra,corrida3,390,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP17R,4150 msnm,Reproductiva,Recto,Hembra,corrida3,94676,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP18S,4150 msnm,Reproductiva,Estomago,Hembra,corrida3,710,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP18I,4150 msnm,Reproductiva,Ileon,Hembra,corrida3,236,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP18R,4150 msnm,Reproductiva,Recto,Hembra,corrida3,67816,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP19S,4150 msnm,Reproductiva,Estomago,Hembra,corrida3,227,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP19I,4150 msnm,Reproductiva,Ileon,Hembra,corrida3,232140,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
