OTUID,261MI,262MI,263MI,264MI,265MI,26AFI,26BFI,26CFI,26DFI,26EFI,4110MI,41AFI,41DFI,41EMI,41FFI,41FI,41GMI,41IMI,41JFI,41JMI,26FV1I,26FV2I,26FV3I,26FV4I,26FV5I,26MVAI,26MVBI,26MVCI,26MVDI,26MVEI,41FV1I,41FV2I,41FV3I,41FV4I,41FV5I,41MVAI,41MVBI,41MVCI,41MVDI,41MVEI,26FP12I,26FP16I,26FP3I,26FP7I,26FP8I,26H2I,26H3I,26H4I,26H7I,26H8I,26M10I,26M14I,26M19I,26M2I,26M2ScI,26M4ScI,26M5I,26M6I,26M6ScI,26M9I,41FP16I,41FP17I,41FP18I,41FP19I,41FP20I,41M11I,41M12I,41M13I,41M14I,41M15I,H31I,H32I,H33I,H34I,H35I,M1I,M2I,M3I,M4I,M5I,abun,dominio,phylum,clase,orden,familia,genero,especie,Confidence,taxa
ee6589c7a711e285692dc56a1bb6d461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.60928743,9.941520468,0.752750434,11.8204804,5.633215105,1.423763914,9.514271407,8.445642408,4.658235953,5.187042842,0.083056478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863365836,d__Bacteria, p__Firmicutes, c__Bacilli, o__Brevibacillales, f__Brevibacillaceae, g__Brevibacillus, s__Brevibacillus_agri,0.737331523,Brevibacillus agri
0a1f5ed70dcb37a86924dbd5fde981af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952088452,2.586290715,3.353330257,1.278969132,2.750548647,0,0,0,0,0,4.483586869,3.313840156,0.173711639,3.761061947,1.356144377,2.316852187,15.40310466,13.29739443,6.755242516,6.13584117,0.093438538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850143071,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Enhydrobacter,NA,0.797952197,Enhydrobacter
21f535a00de7dc936baa7fc5e8e1a686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.765970516,2.148760331,3.107214275,2.673333974,2.772494514,4.538051525,3.648648649,3.225806452,0.527704485,0.715990453,7.526020817,6.822612086,0,5.87863464,1.16837054,0.776598499,5.25788683,2.785265049,6.451096526,5.224660397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837689007,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Massilia,NA,0.999741851,Massilia
dc2b422a0693638b980c512c56721361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125851347,0,0.258064516,0,0,16.65332266,10.91617934,0.463231036,18.42604298,8.595868976,0.68599534,2.96444667,1.976639712,1.904914359,1.784743992,0.145348837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13154433,0,0,0,0,0,0,0.031525851,0,0,0,0,0,0,0,0,0,0,0,0,0.813296499,d__Bacteria, p__Firmicutes, c__Bacilli, o__Paenibacillales, f__Paenibacillaceae, g__Paenibacillus, s__Paenibacillus_validus,0.99999242,Paenibacillus
8634a67d3fc918d3322755bb24142164,0,0.418810578,0.403977626,0,0,0.024729215,1.570989842,6.963747692,0.609211274,8.468244085,0.520944078,3.800320152,1.968268223,0.029739145,0.335424561,1.441284581,0.177390743,0.049013601,3.001579779,2.64640601,0,0,0,0,0,0,0,0.516129032,0,0,0,0,0,0,0,0,0.140210315,0,0.064030735,0.037617555,0.155730897,0,0,2.931596091,2.467917078,0.046809175,0,1.126472094,0.379362671,0.30715812,0.641025641,0,0,0.250510299,0.854700855,0.499687695,0,0,0,0.404203719,1.973164957,0,0,0.027574915,0.07458405,0,0,0,0.031051079,0,0.021187787,0.012226434,0.058317539,2.793597045,1.155430523,1.015228426,0.557620818,2.809884416,3.926031294,2.894736842,0.757548491,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999996819,Lachnospiraceae
df84fc8bb4693ad5e425dd42a2e8ee08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873556411,0,0.172043011,0,0,13.1305044,7.212475634,0.231615518,14.22250316,9.117462967,0.207092933,2.944416625,2.964959569,1.264607011,2.687565308,0.124584718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689417341,d__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus,NA,0.999958052,Bacillus
5fae701def594df66f61c4fa30f25f27,0.691583284,0.287184396,4.878806712,4.62765083,0,0,2.846680841,1.725143357,4.638128503,1.20641345,0.457155007,0.320151776,2.275108517,0.395105786,0.304366731,0,0.387034349,4.300943512,0,0.512207615,0,0.029168692,0,0.028848928,0.036576445,0,0,0,0,0,0,0,10.1910828,0,0.250365116,0.051773233,0,0.628930818,0,0.016718913,0,0,0,0.651465798,1.184600197,0,0.151802657,0,0.060698027,0.080128205,0,0,0.395256917,0,0,0,0,0,0,0,4.70928703,1.863354037,0,0.034037786,0.401606426,0,0.476190476,0,0.093153237,0.158982512,0.006356336,0,2.30354279,0,0.010047222,0,0,0,0.049786629,0.526315789,0.678046771,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Faecalitalea, s__uncultured_bacterium,0.983321001,Faecalitalea
95d5c26e5a939615d46e26659e68afcb,0.14714538,0.51453871,1.833436917,1.306920927,0.498063088,0.009891686,0.673281361,0.422781611,0.121842255,3.167808219,1.647884329,1.043457639,3.562340967,0.679751891,0.360270824,0.899593732,0.645057249,2.68349467,4.535494063,5.634283763,0,0,0,0,0,0,0,0,0.791556728,0,0.080064051,0,0,0,0.083455039,0,0,0,0,0.02507837,0.124584718,0,0,1.954397394,2.073050346,0,0.037950664,0,0.015174507,0.053418803,0.213675214,0,0,0,0,0.062460962,0.088183422,0,0,3.637833468,2.157327019,0.621118012,0.487804878,0.004308581,0.218014917,0,0.158730159,0,0.031051079,0.079491256,0.004237557,0,0.816445546,0.034631368,5.219531799,0,1.301115242,0.352065896,0.028449502,0.789473684,0.649150243,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii,0.963063691,Bacteroides
82edfabb1a0d27400eea1c831119efc0,0.809299588,1.723106378,6.2461156,0,0.479616307,0,0.437042287,0.058314705,0.341158314,2.599626401,0.393365937,0.717377127,3.173177668,1.414733622,0.714330083,2.74714645,0.241896468,0,1.488049738,1.220761482,0.061425061,0,0.123057991,0.028848928,0.029261156,0.014806041,0,0,2.90237467,1.193317422,0,0,7.122177186,0,0,0.595392182,0.030045068,0.628930818,0.160076837,0.058516196,0.062292359,0,0,1.954397394,1.875616979,0,0.64516129,0,0.030349014,0.240384615,0.213675214,0,0,0.009278159,0,0,0,0,0,1.455133387,3.551696922,0,0,0.006462871,0.08605852,0.073637703,0.37037037,0.031525851,0.139729856,0,0,0,0.174952617,0.119285824,0.025118055,0,0,0,0.120910384,1.315789474,0.628189682,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelatoclostridiaceae, g__Candidatus_Stoquefichus,NA,0.718036084,Erysipelatoclostridiaceae
cdd34c161813f6bb82f0815a945f8bce,1.000588582,1.519684097,1.056556868,0.049317771,3.652462645,0.004945843,0.200803213,0,0,3.930572852,0,0.616588605,0.404131118,0.12320503,0.055904093,0.609402205,0,0.0122534,0.045864547,0,0.076781327,0.106951872,0,0.221175113,0.021945867,0,0,0.172043011,0,2.386634845,0,0,3.126809496,0.12642225,4.026705612,0.168263008,0.070105158,0.359389039,0.208099888,0.10031348,3.65448505,0,0,1.954397394,1.184600197,0,0,0,0.121396055,0,0,0,0,0.069586194,0,0.124921924,0.176366843,0,0,0.323362975,0.447250723,0,0,0.849221224,0.958118187,0,0,0,0.062102158,0,0.023306566,0,0,2.462675081,0.10549583,0.152284264,0.557620818,6.197688322,1.450924609,1.315789474,0.583068934,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999922,Lachnospiraceae
cb081bb5948f790018b39136283a3b98,16.78928782,1.411989949,2.268489745,1.043892816,2.600996126,0,0.330734704,0.029157353,0.389895216,1.089663761,0.170104189,0.231220727,1.66891184,0.378111989,0.118019753,0.164441865,0,0.024506801,0.132497579,0.324398156,0.015356265,0.204180846,0.353791724,0.067314165,0.036576445,0,0,0.129032258,0,0,0,0,2.837290098,0,0.083455039,0.68599534,0.030045068,0.179694519,0.048023051,0,0.041528239,0,0,0,0,0,0.265654649,0.051203277,0.197268589,0.040064103,0.427350427,0,0,0,0,0,0,0,0,0.727566694,1.289134438,0,0,0.490316465,0.114744693,0.184094256,0,0.094577554,0.062102158,0.238473768,0.127126724,0,0.539437236,1.835462521,0.46719582,0.152284264,0,0.863557858,4.054054054,0,0.576253412,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999755,Lachnospiraceae
c54feaed94b53803cf5bad847674d8b2,0,3.314586574,0,0,1.162147205,0,0,0,0,0,0.010631512,0.664018498,11.24083221,6.015804231,1.223678489,2.427935771,0.499919368,1.862516848,0.056056668,0.025610381,0,0,0.030764498,0.057697856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032015367,0.020898642,0.103820598,0,0,0,1.776900296,0,0.265654649,0,0.015174507,0,0,0,0,0,0,0,0,1.851851852,0,0.970088925,0.894501447,0,0,0.006032013,0.051635112,0,0,0,0,0.079491256,0.002118779,0,0.597754775,0.019239649,9.404199739,0.050761421,0.743494424,0.332137638,0.021337127,0,0.572891354,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides,NA,0.839846026,Parabacteroides
45823aed0f507b73a601876d4a4f45e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134966777,11.11111111,0,2.280130293,0,0,0,0,0,0.013354701,0,0.20242915,0,0,0,0.687070581,0,0,0.411522634,0,0.578795054,10.55900621,13.65853659,0.047825244,1.784279977,0.257731959,0.052910053,0.299495586,0.077627698,0.874403816,0.012712672,0.012226434,0,0.023087579,0,0,0,0,0,0,0.538490301,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas,NA,0.999953437,Sphingomonas
d1316b26e5350da36e6456499ecdfe18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Micrococcaceae,NA,NA,0.999999884,Micrococcaceae
a8a2ce4676ea626d7d3734fb97677b63,1.103590347,1.902596626,1.056556868,0,0.88544549,0,0.153555398,2.327728642,0.471123386,1.673412204,0.042526047,0.142289678,0.142194282,0,0.043480962,0,0,0,0.091729093,1.092709578,0,0.155566359,0.184586987,0.682757957,0.102414045,0,0,0.301075269,2.90237467,1.909307876,0,0,0.347423277,0,0,0.427129174,0,0,0,0,0.062292359,0,0,0,0,0,0,0.051203277,0.060698027,0,0.213675214,0,0,0.064947114,0,0,1.76366843,5.555555556,0,3.799514956,2.367797948,0,0,1.881126263,0.154905336,0,0,0,0.031051079,0.079491256,0,0,0.335325849,0.076958596,0,0,0,4.643284177,0.170697013,0,0.493172083,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.99999979,Lachnospiraceae
744d9f0fc700fd631a47dccf094e1423,3.148911124,1.81883451,0.62150404,0.230149597,1.199040767,0,0.354358611,0.063174264,0.503614654,0.96513076,0.074420583,0.249006937,0.314324203,0.403602685,0.267097335,0.145095763,0.096758587,0.085773802,0.117209397,0.964657675,0.445331695,0.661157025,0,0.317338206,0,0.044418123,0,0.47311828,2.90237467,7.398568019,0,0,2.142443544,0.600505689,0.354683914,0,0.04006009,0,0,0,0.373754153,0,0,1.628664495,0.197433366,0,1.783681214,0,0.015174507,0.587606838,0,0,1.185770751,0,0,0,0.088183422,0,0,0.323362975,1.420678769,0,0,0.140890584,0.045897877,0,0,0,0,0,0.014831451,0,0,0.881175927,0.070330554,0.101522843,0.185873606,1.966254816,0.405405405,0,0.480239476,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Blautia,NA,0.991538,Blautia
232847d3f802b6c91083b3aad6fc673f,8.593290171,3.757329185,0.31075202,0.041098142,1.844678104,0,0.22442712,0.170084556,0.089350987,2.226027397,0,0.456512717,1.130070349,0.679751891,0.142866017,0.077384407,0,0.098027203,0.005096061,0,0,0,0,0.096163093,0,0,0,0,0.791556728,1.193317422,0,0,0.347423277,0.221238938,2.754016274,0.84131504,0,0,0,0.008359457,0.155730897,0,0,0,0,0,0.531309298,0,0.606980273,0.30715812,0,0,1.185770751,0.329374652,0,0.624609619,0,0,0,0.565885206,2.683504341,0,0,1.869062237,0.16064257,0,0,0,0.031051079,0,0.105938937,0,0,0.81960905,0,0,0,0.006642753,1.507823613,0.263157895,0.473179848,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999877,Lachnospiraceae
e5c57220db542d1fa35c9e7cf1105a74,9.137728075,1.495752064,1.118707272,0.024658885,0.627190555,0,0,0,0,0,0.340208378,0.059287366,0.291872474,1.266037896,0.142866017,0.10640356,0.064505725,1.752236246,0.229322734,0.392692505,0,0,0,0.028848928,0.343818581,0,0,0.129032258,0,0,0,0,1.679212507,0,2.628833716,0.880144965,0,0.359389039,0.112053786,0,0,0,0,0,0,0,0.759013283,0.204813108,0.257966616,0.427350427,0,0,0,0.097420672,0,0.312304809,0.088183422,0,0,0.889248181,3.867403315,0,0,0.022835477,0.028686173,0,0,0,0,0,0.137720618,0,1.195509549,1.777743574,0.658093037,0,0,2.318320712,1.017069701,0,0.465881078,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Blautia,NA,0.923213021,Blautia
471cb54e3355495ffbd668b1558444c9,0,0,0,0.189051455,0.571850212,0,0,0,0,0,0.276419307,2.863579771,0.037419548,2.187951398,2.938070688,5.571677307,0.983712304,1.776743046,0.606431229,3.056172102,0,0,0,0,0,0,0,0,0,0,0,0,4.458598726,0.063211125,0.292092635,0,0,0,0,0.016718913,0,0,0,0,0.592300099,0,0.113851992,0,0,0,0,0,0,0,0,0,0,0,0,0,2.262562484,0,0,0.012494884,0.137693632,0,0,0,0,0,0.010593894,0,1.268406473,0.019239649,0.010047222,0,2.416356877,0.411850671,0.06401138,3.157894737,0.454587547,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__uncultured_bacterium,0.825777429,Bacteroides
65f1d29871c8da3b9207a0baeea0f9af,0,0.155558215,0.341827222,0,0.571850212,0,0,0,0.552351556,0.762764633,0.627259196,0.95452659,2.836401736,0.875180559,0.801292006,2.108725092,0.145137881,0.232814606,1.065076696,2.364691822,0.552825553,0.058337385,0,0.326954515,0.460863204,0,0,0,0,0.954653938,0,0,0.173711639,0,0.563321511,2.278022262,0.150225338,0,0.160076837,0.071055381,0.124584718,0,0,0.977198697,0.394866732,0,0.037950664,0.153609831,0.440060698,0.080128205,0,0,0,0.171645945,0,0,0,0,0,1.131770412,1.104972376,0,0,0.047825244,0.304073437,0,0,0.031525851,0.077627698,0,0.254253448,0,1.414200321,5.133138372,0.432030544,0,0.92936803,0.066427528,1.244665718,1.315789474,0.450165244,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999229,Lachnospiraceae
