OTUID,265MR,263MR,261MR,264MR,262MR,26M6ScR,26M2ScR,26M14R,26M19R,26M4ScR,26CFR,26BFR,26DFR,26AFR,26EFR,26FP3R,26FP7R,26FP16R,26FP8R,26FP12R,4110MR,41JMR,41IMR,41GMR,41EMR,41M11R,41M12R,41M13R,41M14R,41M15R,41JFR,41AFR,41DFR,41FR,41FFR,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,26MVAR,26MVBR,26MVDR,26MVER,26M5R,26M2R,26M9R,26M6R,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26H2R,26H4R,26H7R,26H8R,26H3R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,M1R,M3R,M4R,M5R,M2R,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,H31R,H32R,H33R,H34R,H35R
5679bfcacfc25255f3acedc9bd2c8afd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4abaa483334092f021534a979086baeb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eb7b29a2f748c61f1a0d50fc684ddf5d,5,5,14,0,0,2946,6,12,156,0,0,0,0,0,0,529,2232,2,8,1956,19,0,0,69,90,6056,16,1,3089,389,620,265,10,380,132,107,400,283,36958,197,0,0,9,268,715,5441,27,8,8,2,0,71,139,2486,23,1514,185,3,9,808,330,0,135,5,0,1340,24,5483,0,127,36,0,44,66,969,1922,25,923
e921c3c05323be6d6b6d8ee18d9733d1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,410,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
f30fcff7aa05e31a64283dcf83b7ddd8,0,0,0,0,1,0,24,0,17,0,0,0,0,70,22,0,0,9,44,39,188,29,6,0,81,30,0,0,0,7,56,16,0,43,112,0,150,7,0,65,14,23,36,0,0,0,119,0,15,34,0,0,0,19,34,4,4,4,1,9,0,0,11,1,12,7,38,5,0,3,0,2,101,26,147,8,34,121
827a5ea1633c3630cf99db3e90e84825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
900a4d57074b63634bf1444da93a8095,0,0,0,0,0,3,83,5,5,0,0,0,0,15,0,23,0,22,53,23,8,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,19,119,2,242,70,102,7,49,1,16,173,5,25,27,1,8,0,1,28,20,1,19,0,1,0,0,96,8,0,0,27,3,47,0,0,0,28,10,0,17,0,7
dbfb078252210034905040c4ee9ece51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7bfdcf2ab9c411188132b1d07b0ab50b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4991,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0221b3b7b5213b4fb963c5ad5c9c927,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ce8c6fa9cd617b7dcb9a856ecc6898b,0,0,0,0,0,0,0,0,0,0,0,101,50,15,19,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b36678b883975c24b429d01961572d0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcdfd71e69b3c4edd669a3a01cec9ad1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,22,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,20,24
91f9b9b2e4f2eae72961ec8f137e77db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,3,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,7,1,0,3,0,0
f02c5a92a1fa964a4b2e8dddf075df1c,0,0,47,0,0,0,16,0,17,0,0,6,0,0,10,273,99,125,0,48,5,0,0,0,0,0,0,28,0,0,0,7,0,0,0,0,235,83,10,131,1,38,17,20,0,2,55,14,3,148,0,0,0,0,0,8,0,16,0,3,0,25,80,18,0,6,24,0,0,0,0,0,5,0,0,0,63,18
a66ba6c38e7ca9f8126f231a012ed216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
d613d44fb15e7b080121a01896a2cda4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
b7450a59fcbf0a0f86ceda33073d70a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,9,90,0,180,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,143,0,0,0,0,3,0,0,0,5,17,9,0,0,0,7,0,0,0,0,0,0,3,0,8,0,0,0,0,2,0,0,0,0,0,6,0,0,5,0,77
