ID,poblacion,temporada,seccion,sexo
26AFI,2600 msnm,Reproductiva,Ileon,Hembra
26BFI,2600 msnm,Reproductiva,Ileon,Hembra
26CFI,2600 msnm,Reproductiva,Ileon,Hembra
26DFI,2600 msnm,Reproductiva,Ileon,Hembra
26EFI,2600 msnm,Reproductiva,Ileon,Hembra
26FP12I,2600 msnm,Reproductiva,Ileon,Hembra
26FP16I,2600 msnm,Reproductiva,Ileon,Hembra
26FP3I,2600 msnm,Reproductiva,Ileon,Hembra
26FP7I,2600 msnm,Reproductiva,Ileon,Hembra
26FP8I,2600 msnm,Reproductiva,Ileon,Hembra
26FV1I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV2I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV3I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV4I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV5I,2600 msnm,No Reproductiva,Ileon,Hembra
26H2I,2600 msnm,No Reproductiva,Ileon,Hembra
26H3I,2600 msnm,No Reproductiva,Ileon,Hembra
26H4I,2600 msnm,No Reproductiva,Ileon,Hembra
26H7I,2600 msnm,No Reproductiva,Ileon,Hembra
26H8I,2600 msnm,No Reproductiva,Ileon,Hembra
